volunteer_id,time_slot,reliability
V001,Weekday AM,0.97
V001,Weekday PM,0.86
V002,Weekend PM,0.96
V002,Weekend AM,0.91
V003,Weekday PM,0.94
V003,Weekend PM,0.97
V003,Weekend AM,0.95
V005,Weekend AM,0.94
V005,Weekday AM,0.87
V005,Weekend PM,0.74
V006,Weekend PM,0.94
V006,Weekend AM,0.82
V006,Weekend PM,0.73
V007,Weekend AM,0.88
V007,Weekday PM,1
V007,Weekend PM,0.82
V008,Weekend PM,0.84
V008,Weekend AM,0.81
V009,Weekend AM,0.82
V009,Weekday PM,0.74
V009,Weekend PM,0.96
V010,Weekday PM,0.98
V010,Weekend PM,0.73
V011,Weekend AM,0.99
V011,Weekend PM,0.7
V011,Weekday AM,0.73
V011,Weekend PM,0.74
V012,Weekday AM,0.72
V012,Weekend PM,0.71
V012,Weekday PM,0.82
V012,Weekday PM,1
V013,Weekday AM,0.76
V013,Weekend PM,0.9
V013,Weekday PM,0.94
V014,Weekday PM,0.9
V014,Weekday AM,0.81
V014,Weekend AM,0.9
V015,Weekday AM,0.81
V015,Weekday PM,0.82
V016,Weekday AM,0.98
V016,Weekend AM,0.86
V017,Weekend AM,0.76
V017,Weekday PM,0.98
V017,Weekday AM,0.87
V018,Weekday PM,0.85
V018,Weekend PM,0.8
V018,Weekday AM,0.74
V019,Weekend AM,0.87
V019,Weekend PM,0.93
V019,Weekday PM,0.93
V020,Weekend PM,0.78
V020,Weekend AM,0.81
V020,Weekday AM,0.94
V021,Weekday PM,0.81
V021,Weekend PM,0.86
V022,Weekday PM,0.92
V022,Weekend PM,0.8
V022,Weekday AM,0.87
V023,Weekend PM,0.97
V023,Weekday PM,0.78
V024,Weekend PM,0.92
V024,Weekend AM,0.96
V024,Weekend PM,0.76
V026,Weekend PM,0.96
V026,Weekend AM,0.99
V026,Weekend PM,0.95
V027,Weekend AM,1
V027,Weekday PM,0.97
V027,Weekend PM,0.78
V028,Weekday PM,0.83
V028,Weekday AM,0.98
V029,Weekend AM,0.93
V029,Weekday PM,0.84
V030,Weekend PM,0.7
V030,Weekday PM,0.76
V031,Weekend AM,0.78
V031,Weekday PM,0.86
V032,Weekend AM,0.8
V032,Weekday PM,0.76
V033,Weekday PM,0.82
V033,Weekend PM,0.84
V033,Weekend AM,0.87
V034,Weekday AM,0.77
V034,Weekend AM,0.83
V034,Weekend PM,0.81
V035,Weekday PM,0.75
V035,Weekend PM,0.85
V036,Weekend PM,0.87
V036,Weekday PM,0.82
V036,Weekend AM,0.91
V037,Weekday PM,0.89
V037,Weekend PM,0.83
V038,Weekend AM,0.98
V038,Weekday PM,0.78
V038,Weekend PM,0.71
V039,Weekend AM,0.76
V039,Weekend PM,0.87
V040,Weekend AM,0.85
V040,Weekday PM,0.93
V041,Weekday AM,0.99
V041,Weekday PM,0.96
V041,Weekend AM,0.89
V043,Weekend AM,0.82
V043,Weekend PM,0.97
V043,Weekday PM,0.93
V044,Weekend PM,0.71
V044,Weekday PM,0.92
V044,Weekday AM,0.9
V044,Weekday PM,0.98
V045,Weekday PM,0.73
V045,Weekday AM,0.98
V046,Weekday AM,1
V046,Weekend PM,0.73
V046,Weekday PM,0.89
V047,Weekend PM,0.92
V047,Weekday PM,0.83
V048,Weekday PM,0.71
V048,Weekend AM,0.9
V049,Weekend PM,0.74
V049,Weekday PM,0.98
V049,Weekend AM,0.86
V050,Weekend PM,0.84
V050,Weekend AM,0.77
V050,Weekday PM,0.73
V042,Weekday PM,1
V042,Weekend PM,1
V025,Weekday PM,1
V025,Weekend AM,1
V004,Weekday PM,1
V004,Weekend PM,1
